Common Name,Scientific Name,Family,Distribution,Additional Data Available,Submitted name,FishBase accepted,WoRMS accepted,Provenance
Narrow sawfish,Anoxypristis cuspidata,Pristidae,WIO - West Pacific Ocean,IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened,Anoxypristis cuspidata,Anoxypristis cuspidata,nan,FishBase
Dwarf sawfish,Pristis clavata,Pristidae,WIO - West Pacific Ocean,IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened,Pristis clavata,Pristis clavata,nan,FishBase
Natal shyshark,Haploblepharus kistnasamyi,Scyliorhinidae,South Africa,IUCN status: Critically Endangered (CE); Noted as threatened,Haploblepharus kistnasamyi,Haploblepharus kistnasamyi,nan,FishBase
Honeycomb Izak/Natal Izak,Holohalaelurus favus,Scyliorhinidae,"Mozambique, South Africa",IUCN status: Endangered (EN); Noted as threatened,Holohalaelurus favus,Holohalaelurus favus,nan,FishBase
African Spotted catshark,Holohalaelurus punctatus,Scyliorhinidae,"Mozambique, South Africa",IUCN status: Endangered (EN); Noted as threatened,Holohalaelurus punctatus,Holohalaelurus punctatus,nan,FishBase
Scalloped hammerhead,Sphyrna lewini,Sphyrnidae,Circumglobal,IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I; Vulnerable to overfishing,Sphyrna lewini,Sphyrna lewini,nan,FishBase
Great hammerhead,Sphyrna mokarran,Sphyrnidae,Circumglobal,IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I,Sphyrna mokarran,Sphyrna mokarran,nan,FishBase
Madagascar Kob,Argyrosomus hololepidotus,Sciaenidae,Madagascar,IUCN status: Endangered (EN); Noted as threatened,Argyrosomus hololepidotus,Argyrosomus hololepidotus,nan,FishBase
Humphead wrasse,Cheilinus undulatus,Labridae,Indo-Pacific region,IUCN status: Endangered (EN); CITES Appendix II listed; Noted as threatened,Cheilinus undulatus,Cheilinus undulatus,nan,FishBase
Southern Bluefin tuna,Thunnus maccoyii,Scombridae,Cosmopolitan,IUCN status: Critically Endangered (CE); Included in UNCLOS Annex I; Noted as threatened; Managed by CCSBT,Thunnus maccoyii,Thunnus maccoyii,nan,FishBase
Longfin mako,Isurus paucus,Lamnidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II,Isurus paucus,Isurus paucus,nan,FishBase
Shortfin mako,Isurus oxyrinchus,Lamnidae,Indo-West Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II,Isurus oxyrinchus,Isurus oxyrinchus,nan,FishBase
Oceanic whitetip shark,Carcharhinus longimanus,Carcharhinidae,Circumtropical,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Vulnerable to overfishing; Protected by IOTC measures,Carcharhinus longimanus,Carcharhinus longimanus,nan,FishBase
Sandbar shark,Carcharhinus plumbeus,Carcharhinidae,Circumglobal,IUCN status: Vulnerable (VU),Carcharhinus plumbeus,Carcharhinus plumbeus,nan,FishBase
Dusky shark,Carcharhinus obscurus,Carcharhinidae,Cosmopolitan,IUCN status: Vulnerable (VU),Carcharhinus obscurus,Carcharhinus obscurus,nan,FishBase
Great white shark,Carcharodon carcharias,Lamnidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed,Carcharodon carcharias,Carcharodon carcharias,nan,FishBase
Basking shark,Cetorhinus maximus,Cetorhinidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed,Cetorhinus maximus,Cetorhinus maximus,nan,FishBase
Zebra shark,Stegostoma fasciatum,Stegostomatidae,Indo-Pacific region,IUCN status: Vulnerable (VU),,,,
Spotted ragged-tooth shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,IUCN status: Vulnerable (VU),Carcharias taurus,Carcharias taurus,nan,FishBase
Bigeye thresher,Alopias superciliosus,Alopiidae,Circumglobal,IUCN status: Vulnerable (VU),Alopias superciliosus,Alopias superciliosus,nan,FishBase
Common thresher,Alopias vulpinus,Alopiidae,Circumglobal,IUCN status: Vulnerable (VU),Alopias vulpinus,Alopias vulpinus,nan,FishBase
Pelagic thresher,Alopias pelagicus,Alopiidae,WIO – Pacific Ocean,IUCN status: Vulnerable (VU),Alopias pelagicus,Alopias pelagicus,nan,FishBase
Smooth hammerhead,Sphyrna zygaena,Sphyrnidae,Circumglobal,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in UNCLOS Annex I,Sphyrna zygaena,Sphyrna zygaena,nan,FishBase
Daggernose shark,Isogomphodon oxyrhynchus,Carcharhinidae,West Atlantic,IUCN status: Vulnerable (VU),Isogomphodon oxyrhynchus,Isogomphodon oxyrhynchus,nan,FishBase
Ganges shark,Glyphis gangeticus,Carcharhinidae,Indo-West Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Glyphis gangeticus,Glyphis gangeticus,nan,FishBase
Gulper shark,Centrophorus granulosus,Centrophoridae,Circumglobal,IUCN status: Vulnerable (VU),Centrophorus granulosus,Centrophorus granulosus,nan,FishBase
Tope shark,Galeorhinus galeus,Triakidae,"Widespread (Mozambique, South Africa)",IUCN status: Vulnerable (VU),Galeorhinus galeus,Galeorhinus galeus,nan,FishBase
Milk shark,Rhizoprionodon acutus,Carcharhinidae,Indo-West Pacific region,IUCN status: Vulnerable (VU),Rhizoprionodon acutus,Rhizoprionodon acutus,nan,FishBase
Grey nurse shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,IUCN status: Vulnerable (VU),Carcharias taurus,Carcharias taurus,nan,FishBase
Bigeye tuna,Thunnus obesus,Scombridae,Circumtropical,IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; Stock status considered relatively good in Indian Ocean,Thunnus obesus,Thunnus obesus,nan,FishBase
Blue marlin,Makaira nigricans,Istiophoridae,Cosmopolitan,IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; IOTC assessment: overfished but not subject to overfishing,Makaira nigricans,Makaira nigricans,nan,FishBase
Black-saddle grouper,Plectropomus laevis,Serranidae,Indo-Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Plectropomus laevis,Plectropomus laevis,nan,FishBase
Giant grouper,Epinephelus lanceolatus,Serranidae,Indo-Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Epinephelus lanceolatus,Epinephelus lanceolatus,nan,FishBase
Lunartail grouper,Epinephelus albomarginatus,Serranidae,WIO - India,IUCN status: Vulnerable (VU); Red-flagged species,Epinephelus albomarginatus,Epinephelus albomarginatus,nan,FishBase
Green humphead parrotfish,Bolbometopon muricatum,Scaridae,Indo-West Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Bolbometopon muricatum,Bolbometopon muricatum,nan,FishBase
Indo-Pacific bonefish,Albula glossodonta,Albulidae,Indo-Pacific region,IUCN status: Vulnerable (VU),Albula glossodonta,Albula glossodonta,nan,FishBase
Thorny seahorse,Hippocampus histrix,Syngnathidae,Indo-Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Hippocampus histrix,Hippocampus histrix,nan,FishBase
Kellogg's seahorse,Hippocampus kelloggi,Syngnathidae,Indo-Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Hippocampus kelloggi,Hippocampus kelloggi,nan,FishBase
