Common Name,Scientific Name,Family,Distribution,Additional Data Available
Longfin mako,Isurus paucus,Lamnidae,Cosmopolitan,"IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II"
Shortfin mako,Isurus oxyrinchus,Lamnidae,Indo-West Pacific region,"IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II"
Oceanic whitetip shark,Carcharhinus longimanus,Carcharhinidae,Circumtropical,"IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Vulnerable to overfishing; Protected by IOTC measures"
Sandbar shark,Carcharhinus plumbeus,Carcharhinidae,Circumglobal,"IUCN status: Vulnerable (VU)"
Dusky shark,Carcharhinus obscurus,Carcharhinidae,Cosmopolitan,"IUCN status: Vulnerable (VU)"
Great white shark,Carcharodon carcharias,Lamnidae,Cosmopolitan,"IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed"
Basking shark,Cetorhinus maximus,Cetorhinidae,Cosmopolitan,"IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed"
Zebra shark,Stegostoma fasciatum,Stegostomatidae,Indo-Pacific region,"IUCN status: Vulnerable (VU)"
Spotted ragged-tooth shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,"IUCN status: Vulnerable (VU)"
Bigeye thresher,Alopias superciliosus,Alopiidae,Circumglobal,"IUCN status: Vulnerable (VU)"
Common thresher,Alopias vulpinus,Alopiidae,Circumglobal,"IUCN status: Vulnerable (VU)"
Pelagic thresher,Alopias pelagicus,Alopiidae,WIO – Pacific Ocean,"IUCN status: Vulnerable (VU)"
Smooth hammerhead,Sphyrna zygaena,Sphyrnidae,Circumglobal,"IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in UNCLOS Annex I"
Daggernose shark,Isogomphodon oxyrhynchus,Carcharhinidae,West Atlantic,"IUCN status: Vulnerable (VU)"
Ganges shark,Glyphis gangeticus,Carcharhinidae,Indo-West Pacific region,"IUCN status: Vulnerable (VU); CITES Appendix II listed"
Gulper shark,Centrophorus granulosus,Centrophoridae,Circumglobal,"IUCN status: Vulnerable (VU)"
Tope shark,Galeorhinus galeus,Triakidae,"Widespread (Mozambique, South Africa)","IUCN status: Vulnerable (VU)"
Milk shark,Rhizoprionodon acutus,Carcharhinidae,Indo-West Pacific region,"IUCN status: Vulnerable (VU)"
Grey nurse shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,"IUCN status: Vulnerable (VU)"
Bigeye tuna,Thunnus obesus,Scombridae,Circumtropical,"IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; Stock status considered relatively good in Indian Ocean"
Blue marlin,Makaira nigricans,Istiophoridae,Cosmopolitan,"IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; IOTC assessment: overfished but not subject to overfishing"
Black-saddle grouper,Plectropomus laevis,Serranidae,Indo-Pacific region,"IUCN status: Vulnerable (VU); Red-flagged species"
Giant grouper,Epinephelus lanceolatus,Serranidae,Indo-Pacific region,"IUCN status: Vulnerable (VU); Red-flagged species"
Lunartail grouper,Epinephelus albomarginatus,Serranidae,WIO - India,"IUCN status: Vulnerable (VU); Red-flagged species"
Green humphead parrotfish,Bolbometopon muricatum,Scaridae,Indo-West Pacific region,"IUCN status: Vulnerable (VU); Red-flagged species"
Indo-Pacific bonefish,Albula glossodonta,Albulidae,Indo-Pacific region,"IUCN status: Vulnerable (VU)"
Thorny seahorse,Hippocampus histrix,Syngnathidae,Indo-Pacific region,"IUCN status: Vulnerable (VU); CITES Appendix II listed"
Kellogg's seahorse,Hippocampus kelloggi,Syngnathidae,Indo-Pacific region,"IUCN status: Vulnerable (VU); CITES Appendix II listed"
