"","Indicator","ParentLocation","Location","FactValueNumeric","SDG"
"SDG3.5.60","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","United Kingdom of Great Britain and Northern Ireland",11.2,"SDG3.5"
"SDG3.5.61","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Spain",11.4,"SDG3.5"
"SDG3.5.62","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Switzerland",11.5,"SDG3.5"
"SDG3.5.63","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Hungary",11.6,"SDG3.5"
"SDG3.5.64","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Poland",11.6,"SDG3.5"
"SDG3.5.65","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Romania",11.6,"SDG3.5"
"SDG3.5.66","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Belgium",11.8,"SDG3.5"
"SDG3.5.67","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","United Republic of Tanzania",11.8,"SDG3.5"
"SDG3.5.68","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Portugal",11.9,"SDG3.5"
"SDG3.5.69","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Andorra",11.9,"SDG3.5"
"SDG3.5.70","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Russian Federation",11.9,"SDG3.5"
"SDG3.5.71","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Bulgaria",12,"SDG3.5"
"SDG3.5.72","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Austria",12.1,"SDG3.5"
"SDG3.5.73","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Republic of Moldova",12.3,"SDG3.5"
"SDG3.5.74","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","France",12.6,"SDG3.5"
"SDG3.5.75","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Ireland",12.6,"SDG3.5"
"SDG3.5.76","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Slovenia",12.7,"SDG3.5"
"SDG3.5.77","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Luxembourg",12.7,"SDG3.5"
"SDG3.5.78","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Uganda",13,"SDG3.5"
"SDG3.5.79","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Germany",13,"SDG3.5"
"SDG3.5.80","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Czechia",14.2,"SDG3.5"
"SDG3.5.81","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Estonia",14.4,"SDG3.5"
"SDG3.5.82","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Lithuania",15.4,"SDG3.5"
"SDG3.5.83","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Kiribati",2,"SDG3.5"
"SDG3.5.84","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Tunisia",2,"SDG3.5"
"SDG3.5.85","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Tuvalu",2,"SDG3.5"
"SDG3.5.86","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Kenya",2,"SDG3.5"
"SDG3.5.87","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Singapore",2.1,"SDG3.5"
"SDG3.5.88","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Eritrea",2.2,"SDG3.5"
"SDG3.5.89","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Mozambique",2.3,"SDG3.5"
"SDG3.5.90","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Maldives",2.4,"SDG3.5"
"SDG3.5.91","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Central African Republic",2.4,"SDG3.5"
"SDG3.5.92","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Micronesia (Federated States of)",2.4,"SDG3.5"
"SDG3.5.93","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Papua New Guinea",2.4,"SDG3.5"
"SDG3.5.94","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Togo",2.4,"SDG3.5"
"SDG3.5.95","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Côte d’Ivoire",2.5,"SDG3.5"
"SDG3.5.96","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Uzbekistan",2.5,"SDG3.5"
"SDG3.5.97","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Benin",2.6,"SDG3.5"
"SDG3.5.98","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Samoa",2.7,"SDG3.5"
"SDG3.5.99","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Haiti",2.8,"SDG3.5"
"SDG3.5.100","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Sri Lanka",2.9,"SDG3.5"
"SDG3.5.101","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Ghana",3,"SDG3.5"
"SDG3.5.102","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Namibia",3.3,"SDG3.5"
"SDG3.5.103","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Gambia",3.4,"SDG3.5"
"SDG3.5.104","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Turkmenistan",3.4,"SDG3.5"
"SDG3.5.105","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Honduras",3.5,"SDG3.5"
"SDG3.5.106","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Fiji",3.6,"SDG3.5"
"SDG3.5.107","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","El Salvador",3.6,"SDG3.5"
"SDG3.5.108","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","United Arab Emirates",3.8,"SDG3.5"
"SDG3.5.109","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Israel",3.9,"SDG3.5"
"SDG3.5.110","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Ecuador",3.9,"SDG3.5"
"SDG3.5.111","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Malawi",4,"SDG3.5"
"SDG3.5.112","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Jamaica",4,"SDG3.5"
"SDG3.5.113","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Costa Rica",4.1,"SDG3.5"
"SDG3.5.114","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Nauru",4.2,"SDG3.5"
"SDG3.5.115","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Bolivia (Plurinational State of)",4.2,"SDG3.5"
"SDG3.5.116","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Mauritius",4.3,"SDG3.5"
"SDG3.5.117","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Democratic People's Republic of Korea",4.5,"SDG3.5"
"SDG3.5.118","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Zambia",4.5,"SDG3.5"
"SDG3.5.119","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Bahamas",4.7,"SDG3.5"
"SDG3.5.120","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Kazakhstan",4.7,"SDG3.5"
"SDG3.5.121","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Liberia",4.9,"SDG3.5"
"SDG3.5.122","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Sierra Leone",5,"SDG3.5"
"SDG3.5.123","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Mexico",5,"SDG3.5"
"SDG3.5.124","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Nicaragua",5,"SDG3.5"
"SDG3.5.125","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Armenia",5,"SDG3.5"
"SDG3.5.126","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Lesotho",5.1,"SDG3.5"
"SDG3.5.127","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Guinea-Bissau",5.2,"SDG3.5"
"SDG3.5.128","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Zimbabwe",5.3,"SDG3.5"
"SDG3.5.129","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","India",5.5,"SDG3.5"
"SDG3.5.130","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Colombia",5.6,"SDG3.5"
"SDG3.5.131","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Guyana",5.8,"SDG3.5"
"SDG3.5.132","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","The former Yugoslav Republic of Macedonia",6,"SDG3.5"
"SDG3.5.133","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Cuba",6,"SDG3.5"
"SDG3.5.134","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Nigeria",6.1,"SDG3.5"
"SDG3.5.135","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Saint Kitts and Nevis",6.1,"SDG3.5"
"SDG3.5.136","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Cameroon",6.1,"SDG3.5"
"SDG3.5.137","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Kyrgyzstan",6.2,"SDG3.5"
"SDG3.5.138","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Suriname",6.3,"SDG3.5"
"SDG3.5.139","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Cabo Verde",6.3,"SDG3.5"
"SDG3.5.140","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Albania",6.4,"SDG3.5"
"SDG3.5.141","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Dominican Republic",6.4,"SDG3.5"
"SDG3.5.142","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Cambodia",6.6,"SDG3.5"
"SDG3.5.143","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Philippines",6.7,"SDG3.5"
"SDG3.5.144","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Paraguay",6.7,"SDG3.5"
"SDG3.5.145","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Trinidad and Tobago",6.7,"SDG3.5"
"SDG3.5.146","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Venezuela (Bolivarian Republic of)",6.9,"SDG3.5"
"SDG3.5.147","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Botswana",6.9,"SDG3.5"
"SDG3.5.148","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Viet Nam",7,"SDG3.5"
"SDG3.5.149","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Saint Vincent and the Grenadines",7,"SDG3.5"
"SDG3.5.150","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Uruguay",7,"SDG3.5"
"SDG3.5.151","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Peru",7,"SDG3.5"
"SDG3.5.152","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","China",7.1,"SDG3.5"
"SDG3.5.153","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Norway",7.1,"SDG3.5"
"SDG3.5.154","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Burundi",7.2,"SDG3.5"
"SDG3.5.155","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Bosnia and Herzegovina",7.2,"SDG3.5"
"SDG3.5.156","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Belize",7.2,"SDG3.5"
"SDG3.5.157","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Sao Tome and Principe",7.3,"SDG3.5"
"SDG3.5.158","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Malta",7.6,"SDG3.5"
"SDG3.5.159","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Panama",7.6,"SDG3.5"
"SDG3.5.160","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Italy",7.7,"SDG3.5"
"SDG3.5.161","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Antigua and Barbuda",7.8,"SDG3.5"
"SDG3.5.162","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Dominica",7.8,"SDG3.5"
"SDG3.5.163","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Congo",7.9,"SDG3.5"
"SDG3.5.164","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Brazil",7.9,"SDG3.5"
"SDG3.5.165","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Rwanda",8.3,"SDG3.5"
"SDG3.5.166","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Seychelles",8.3,"SDG3.5"
"SDG3.5.167","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Grenada",8.5,"SDG3.5"
"SDG3.5.168","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Mongolia",8.5,"SDG3.5"
"SDG3.5.169","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Eswatini",8.6,"SDG3.5"
"SDG3.5.170","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Iceland",8.7,"SDG3.5"
"SDG3.5.171","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Thailand",8.8,"SDG3.5"
"SDG3.5.172","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Angola",8.8,"SDG3.5"
"SDG3.5.173","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Croatia",8.8,"SDG3.5"
"SDG3.5.174","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Serbia",8.8,"SDG3.5"
"SDG3.5.175","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Georgia",8.9,"SDG3.5"
