"88","0.677","1.291","1.662","1.987","2.369","2.633","2.880","3.185","3.405"
"90","0.677","1.291","1.662","1.987","2.368","2.632","2.878","3.183","3.402"
"92","0.677","1.291","1.662","1.986","2.368","2.630","2.876","3.181","3.399"
"94","0.677","1.291","1.661","1.986","2.367","2.629","2.875","3.179","3.397"
"96","0.677","1.290","1.661","1.985","2.366","2.628","2.873","3.177","3.395"
"98","0.677","1.290","1.661","1.984","2.365","2.627","2.872","3.175","3.393"
"100","0.677","1.290","1.660","1.984","2.364","2.626","2.871","3.174","3.390"
"105","0.677","1.290","1.659","1.983","2.362","2.623","2.868","3.170","3.386"
"110","0.677","1.289","1.659","1.982","2.361","2.621","2.865","3.166","3.381"
"115","0.677","1.289","1.658","1.981","2.359","2.619","2.862","3.163","3.377"
"120","0.677","1.289","1.658","1.980","2.358","2.617","2.860","3.160","3.373"
"125","0.676","1.288","1.657","1.979","2.357","2.616","2.858","3.157","3.370"
"130","0.676","1.288","1.657","1.978","2.355","2.614","2.856","3.154","3.367"
"135","0.676","1.288","1.656","1.978","2.354","2.613","2.854","3.152","3.364"
"140","0.676","1.288","1.656","1.977","2.353","2.611","2.852","3.149","3.361"
"145","0.676","1.287","1.655","1.976","2.352","2.610","2.851","3.147","3.359"
"150","0.676","1.287","1.655","1.976","2.351","2.609","2.849","3.145","3.357"
"160","0.676","1.287","1.654","1.975","2.350","2.607","2.846","3.142","3.352"
"170","0.676","1.287","1.654","1.974","2.348","2.605","2.844","3.139","3.349"
"180","0.676","1.286","1.653","1.973","2.347","2.603","2.842","3.136","3.345"
"190","0.676","1.286","1.653","1.973","2.346","2.602","2.840","3.134","3.342"
"200","0.676","1.286","1.653","1.972","2.345","2.601","2.839","3.131","3.340"
"250","0.675","1.285","1.651","1.969","2.341","2.596","2.832","3.123","3.330"
"300","0.675","1.284","1.650","1.968","2.339","2.592","2.828","3.118","3.323"
"350","0.675","1.284","1.649","1.967","2.337","2.590","2.825","3.114","3.319"
"400","0.675","1.284","1.649","1.966","2.336","2.588","2.823","3.111","3.315"
"450","0.675","1.283","1.648","1.965","2.335","2.587","2.821","3.108","3.312"
"500","0.675","1.283","1.648","1.965","2.334","2.586","2.820","3.107","3.310"
"600","0.675","1.283","1.647","1.964","2.333","2.584","2.817","3.104","3.307"
"700","0.675","1.283","1.647","1.963","2.332","2.583","2.816","3.102","3.304"
"800","0.675","1.283","1.647","1.963","2.331","2.582","2.815","3.100","3.303"
"900","0.675","1.282","1.647","1.963","2.330","2.581","2.814","3.099","3.301"
"1000","0.675","1.282","1.646","1.962","2.330","2.581","2.813","3.098","3.300"
"$\infty$","0.6745","1.2816","1.6449","1.9600","2.3263","2.5758","2.8070","3.0902","3.2905"
